O,O,,,,E102,,,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E307,TA13,,,,,,,,,,,SUR,,,,,,,,SUR,,,,,,,,MJS,,,,ABN-RA,,SUJ,,,,,,,,,,,,RAA,,,,,,,,,,SP,,,,APC7,,O,,,
,,3,,9:40: AM,UEIXXXP,,UEI608P,,ULC601L,,,,,,UTA025L,,,,,,UME718T,,,,UTA024P,,UME403T,,,,,,,,,,,,,,UCH509L,,,,UBT517L,,,,,,,,UCE521L,,,,,,UCC521L,,UEE508P,,UEE512P,,ULC502P,,ULC501P,,ULC502P,,,,UHU028L/UHU026L,,,,,,UNC503L,,,,,,,,UEC502P,,UNC503P,,UEC310T,,,,UNC503L,,,,,,,,UEC513P,,UEC519T,,,,UEC519P,,UEC513L,,,,,,UEC750P,,UEC502P,,UEC512P,,UVD501L,,,,,,,3,9:40: AM ,
N,N,,,,TFS(C225),,BMI(B213),,E102,,,,,SKJ,F107,,,,,VS,F210,SKM,,,L101/B216,,F309,DKJ,,,,,,,,,,,,,E310,,,AC,F208,,,,,,,BB,E103,,,,,ABK,E308,DAS,I&C(C217),,PE(C113),,IOT(D206B),,BMC(C323),,PSS(H220),,,,E106/E301,,,,,GK/SPT,B308,,,,,,,SUR,C203,,C333,,F303,PV,,,B309,,,,,,,RU,C202,,F316,APC15,,,B214,,F203,,,,,DG,C221,,C326,,C210,,F204,,,,,MA,N,,,
,,4,,10:30: AM,LAB,,LAB,,UEE514L/UEE527L/ULC303L,,,,,,UME633L,,,,,,UME404T,,,,LAB,,UMT504T,,UME403T,,UMT504T,,UME725L,,,,,,,,UCH501T,,UCH405P,,UBT521L,,,,,,,,UCE511L,,,,,,UCC503L,,LAB,,LAB,,LAB,,LAB,,LAB,,,,UCT502L,,,,,,UEC502L,,,,,,,,LAB,,LAB,,UEC502T,,,,UEC502L,,,,,,,,LAB,,UEC750T,,,,LAB,,UEC519L,,,,,,LAB,,LAB,,LAB,,UNC503L,,,,,,,4,10:30: AM,
D,D,,,,NJS,,RA,,E308/E102/B301,,,,,DND/SHT/ALK,F107,,,,,RSJ,F210,RKG,,,SAS-RA/AMK1,,F313,RKD,F309,DKJ,F313,RKD,F108,,,,,,,SPP,E310,SKA,B119,,F208,,,,,,,AKU,D115,,,,TNC,,E303,HS,SAH,,TA1,,ADG,,TA9,,TA6,,,,E106,,,,,SUG,B308,,,,,,,AKK,APC11,,DVG,,F303,APC12,,,B309,,,,,,,SNJ,DN,,F316,SUJ,,,AM,,F203,,,,,SUS,APC8,,RF11,,HS,,F204,,,,,DGS,D,,,
,,5,,11:20 AM,UEI601P,,UEI604P,,UEE504L,,,,,,UME718P,,UME718P,,UME718T,,UME718L,,,,,,UME511L,,,,,,UML501L,,,,,,,,UCH401T,,LAB,,UBT513 L,,,,,,,,UCE501L,,,,,,UCC502L,,UEE512P,,ULC601P,,ULC601P,,UEE508P,,ULC501P,,,,UCT501L,,,,,,UEC502P,,,,UNC501P,,UEC716P,,UEC523L,,,,,,,,,,,,,,,,UEC750L,,,,,,,,UEC513P,,,,UTA025T,,UEC512L,,,,,,UEC502L,,,,,,,5,11:20 AM,
A,A,,,,II(D207),,PDC(C220),,E102,,,,,MBK,ICE(H106),,ICE(H106),,F210,RPS,F108,,,,,SKM,F109,,,,,GTS,F107,,,,,,,VPR,E310,RGU,SKS,,F208,,,,,,,PD,D115,,,,APR,,E308,NEN,PE(C113),,NETWORK(H223),,PSS(H220),,I&C(C217),,BMC(C323),,,,E106,,,,,RAJ,C203,,,,C332,,C326,,B308,,,,,,,CDM,,,,,,,,,B309,,,,,,,RJS,C202,,,,E302,,F202,,,,,SKR,F204,,,,,RAA,A,,,
,,6,,12:10 PM,LAB,,LAB,,UEI501L,,,,,,LAB,,LAB,,,,UME511L,,,,,,UMT403L,,,,,,,,,,,,,,,,,,UBT516L,,,,,,,,,,,,,,,,LAB,,LAB,,LAB,,LAB,,LAB,,,,UHU042L,,,,,,LAB,,,,LAB,,LAB,,UEC523L,,,,,,,,,,,,,,,,UEC512L,,,,,,,,LAB,,,,LAB,,UEC513L,,,,,,UEC867L,,,,,,,6,12:10 PM,
Y,Y,,,,GK,,RPN,,E102,,,,,SG,KL,,KL,,,,F108,,,,,DK,F109,,,,,BJS,,,,,,,,,,,,,F208,,,,,,,VKH,,,,,,,,,MKS,,TA15,,TA4,,SAH,,RVK,,,,E106,,,,,NSD,RVK,,,,ABH-RA,,AUS,,B308,,,,,,,CDM,,,,,,,,,B309,,,,,,,HS,HVR,,,,PMS,,F202,,,,,DN,F204,,,,,RPN,Y,,,
,,7,,1:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UEI831L,,,,,,,,,,,,,,,,,,,,,,,,UEC310L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1:00 PM,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E307,DBM,,,,,,,,,,,,,,,,,,,,,,,B309,,,,,,,PV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,1:50 PM,,,,,,,,,,,,,,,,,UME408L,,,,,,,,,,,,UMT802L,,,,,,,,UTA025P,,,,,,,,,,,,UCE521P,,,,,,UCC521P,,ULC511L,,,,,,,,,,UBM504L,,UCT501P,,UHU028P,,,,UNC501P,,UEC716P,,,,UNC501P,,UNC501L,,,,,,,,UEC502P,,UNC503P,,UTA025T,,,,UEC502L,,,,,,,,UEC512P,,UEC750P,,UEC519P,,UEC523P,,,,,,,,UEC867T,,,,,8,1:50 PM,
,,,,,,,,,,,,,,,,,,,,,F102,,,,,BJS,,,,,,,F107,,,,,,AKS,,F309,,,,,,,,,,,,E204,,,,,,F302,,E105,,,,,,,,,MBK,E307,DM,PL-4(L011),,E307,,,,C332,,C326,,,,C327,,B308,,,,,,,MJS,C203,,C333,,F310,,,,B309,,,,,,,RAA,C210,,C221,,B214,,F204,,,,,,,,E304,RPN,,,,,,
,,9,,2:40 PM,UEI604T,,UEI601T,,,,,,,,UME720L,,,,,,UME720L,,,,,,UMT521L,,,,,,URA521L,,,,,,,,MDS,,,,,,,,UBT517T,,,,ABK,,,,,,LAB,,ULC502L,,,,,,,,,,UBM504T,,LAB,,GK,,,,LAB,,LAB,,,,LAB,,UTA025L,,,,,,,,LAB,,LAB,,NS,,,,UEC513L,,,,,,,,LAB,,LAB,,LAB,,NJ,,,,,,UVD515L,,,,,,,9,2:40 PM,
,,,,,E306,RPN,E304,GK,,,,,,,F206,,,,,MDM,F102,,,,,SSH,B303,,,,,DMG,F107,,,,,,SPP,,,,,,,,,,F208,BB,,,,,,,,,DAS,,B208,,,,,,,,,ADG,E307,DM,RAJ,,,,,,ABH-RA,,SUJ,,,,ABN-RA,,B308,,,,,,,HSP,LKB,,AJK,,,,,,B309,,,,,,,GDS,HS,,APC8,,SUS,,,,,,,,F202,,,,,SP,,,,
,,10,,3:30 PM,UEI608L,,,,UTA025P,,,,UTA025P,,UME633P,,,,,,UTA025P,,,,,,,,,,,,,,,,,,,,,,,,UTA025P,,,,,,,,UCE511P,,,,UCE501P,,UCE693P,,ULC501P,,UEE508P,,UEE512P,,UEE512T,,,,UBM605P,,UHUXX2P,,,,,,UEC521P/UNC514P/UCS534P/UCS668P/UCS550P/UCS539L(Upto 04:20 PM),,,,,,,,,,,,,,,,,,,,,,,,UEC520P/UEC521/UCS534P/UCS668P/UCS550P/UCS539L(Upto 04:20 PM),,,,,,,,,,,,,,,,,,,,UCS534P/UCS668P/UCS550P/UCS539L(Upto 04:20 PM),,,,,,,10,3:30 PM,
,,,,,E102,,,RA,VENTURE LAB(VL301),,,,B301,,F107,,,,,,F309,,,,,,,,,,,,,,,,,,,,,,,,F208,,,,,,,,D117,,,,CD122,,C218,,ISD(C223),,I&C(C217),,PE(C113),,E303,TA1,,,BMC(C323),,E103,,,,,,C221/C326/L408/L004/L102/LT102,,,,,,,,,,,,,,,,,,,,,,,,C333/C221/L408/L004/L102/LT102,,,,,,,,,,,,,,,,,,,,L408/L004/L102/LT101,,,,,,,,,
,,11,,4:20 PM,UEIXXXL,,,,LAB,,,,SCB,,RSJ/SPP,,,,,,HH,,,,,,,,,,,,,,,,,,,,,,,,RM,,,,,,,,LAB,,,,LAB,,LAB2,,LAB,,LAB,,LAB,,,,,,LAB,,RR,,,,,,LAB,,,,,,,,,,,,,,,,,,,,,,,,LAB,,,,,,,,,,,,,,,,,,,,LAB,,,,,,,11,4:20 PM,
,,,,,E102,,,AMT,DPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TNC,,,,APC3,,ABD,,TA9,,TA13,,MKS,,,,,,ASG,,,,,,,,SSK/SUR/MAN/JHB/SAL/ROS,,,,,,,,,,,,,,,,,,,,,,,,SUK/SSK/MAN/JHB/SAL/ROS,,,,,,,,,,,,,,,,,,,,MAN/JHB/SAL/ROS,,,,,,,,,
,,12,,5:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UCS539P,,,,,,,,,,,,,,,,,,,,,,,,UCS539P,,,,,,,,,,,,,,,,,,,,UCS539P,,,,,,,12,5:10 PM,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L002,,,,,,,,,,,,,,,,,,,,,,,,L002,,,,,,,,,,,,,,,,,,,,L002,,,,,,,,,
,,13,,6:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAB,,,,,,,,,,,,,,,,,,,,,,,,LAB,,,,,,,,,,,,,,,,,,,,LAB,,,,,,,13,6:00 PM,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROS,,,,,,,,,,,,,,,,,,,,,,,,ROS,,,,,,,,,,,,,,,,,,,,ROS,,,,,,,,,
,,14,,6:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,6:50 PM,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,8:00 AM,UEI604L,,,,,,,,,,,,UTA024P,,UME718P,,,,,,UME718P,,,,UTA024P,,,,UML501P,,,,,,,,,,,,,,,,,,,,UCE501L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UEC519P,,,,UEC513P,,,,,,,,,,,,,1,8:00 AM,
T,T,,,,E102,,,RPN,,,,,,,,,B216/L101,,ICE(H106),,,,,,ICE(H106),,,,L101/B216,,,,CAM(H107),,,,,,,,,,,,,,,,,,,,E103,,,,,APR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B214,,,,C202,,,,,,,,,,,,T,,,
,,2,,8:50 AM,UEI306L,,,,UEI501P,,UEE510P,,UEE504P,,,,LAB,,LAB,,,,,,LAB,,,,LAB,,,,LAB,,,,,,,,UCH506L,,,,UBT517L,,,,,,,,UCE401L,,,,,,UCC503L,,,,,,,,,,,,UEI614L,,UHU030L,,,,,,UTA025L,,,,,,,,UEC716L,,,,,,,,,,,,,,,,,,,,UEC750T,,,,,,LAB,,,,LAB,,UEC502T,,,,,,,,,,,2,8:50 AM,
U,U,,,,E102,,,ABP,I&C(C217),,HV(C102),,PE(C113),,,,APC11/SAS-RA,,SDS,,,,,,SDS,,,,SAS-RA/APC11,,,,VPR,,,,,,,,E310,,,PMS,F208,,,,,,,BB,E103,,,,,DNR,E303,HS,,,,,,,,,,,E307,MIS,E106,,,,,SCB,B305,,,,,,,AB,B308,,,,,,,SUJ,,,,,,,,,,,,,B309,APC8,,,,,APC3,,,,PF3,,F316,APC12,,,,,,,,,U,,,
,,3,,9:40 AM,UEI608L,,,,LAB,,LAB,,LAB,,UME511L,,,,,,UTA025L,,,,,,,,,,,,UMT403T,,UME725T,,UML501P,,UMT802P,,UCH405L,,,,UBT516L,,,,,,,,UCE512L,,,,,,UCC501L,,UEE508T,,,,,,,,,,UBMXXXL,,UCT502L,,,,,,UEC502T,,UEC502P,,UEC716P,,UNC503P,,UNC503L,,,,,,,,,,,,,,UEC502P,,UEC523L,,,,,,,,UEC502L,,,,,,UEC512L,,,,,,UEC523L,,,,,,,3,9:40 AM,
E,E,,,,E102,,,RA,SG,,PBK,,MBK,,F107,,,,,SSD,F108,,,,,VS,,,,,,,F309,MDS,F316,SPP,CAM(H107),,IA(H214),,E310,,,SKS,F208,,,,,,,VKH,E103,,,,,ABD,E303,RP,E308,SAH,,,,,,,,,E307,DBD,E106,,,,,SUG,F303,SNJ,C203,,C202,,C333,,B308,,,,,,,DVG,,,,,,,C326,,B309,,,,,,,SMD,F203,,,,,LKB,F202,,,,,SKR,F204,,,,,NJ,E,,,
,,4,,10:30 AM,UEIXXXL,,,,UEE410P,,UEI510P,,UEE410P,,UME404L,,,,,,UTA024L,,,,,,UTA025L,,,,,,UME725T,,UMT403T,,LAB,,LAB,,UCH506T,,UCH401P,,UBT515L,,,,,,,,UCE511L,,,,,,UTA025L,,ULC502P,,,,,,,,ULC601P,,UBM505L,,UCT501L,,,,,,UEC310T,,LAB,,LAB,,LAB,,UEC310L,,,,,,,,,,,,,,LAB,,UEC523L,,,,,,,,UEC512L,,,,,,UEC513L,,,,,,UEC523L,,,,,,,4,10:30 AM,
S,S,,,,E102,,,NJS,ISD(C223),,I&C(C217),,BMC(C323),,F107,,,,,GB,F108,,RPN/AKV,,,,F206,,,,,APH,F316,SPP,F309,HLB,STG,,SKH,,E310,PMS,B124,,F208,,,,,,,MSR,D115,,,,,TNC,F206,APH,PSS(H220),,,,,,,,NETWORK(H223),,E307,SKS,E106,,,,,RAJ,F303,APC12,AKK,,AUS,,SUR,,B308,,,,,,,GTJ,,,,,,,ST,,B309,,,,,,,SMD,F203,,,,,KBS,F202,,,,,DN,F204,,,,,NJ,S,,,
,,5,,11:20 AM,UEI601L,,,,LAB,,LAB,,LAB,,UME404T,,,,UME408T,,UME404L,,,,,,UMT504L,,,,,,UMT403L,,,,,,,,UCH405T,,LAB,,UBT513L/UBT512L,,,,,,,,UCE401T,,UCE693P,,,,UCC502L,,LAB,,,,,,,,LAB,,UBM504L,,UHU042P,,UCT502P,,,,UNC501L,,,,,,,,UEC502L,,,,,,,,UNC503L,,,,,,,,UEC512L,,,,,,,,UEC750L,,,,,,UEC519P,,UEC512P,,UEC750P,,UVD501L,,,,,,,5,11:20 AM,
D,D,,,,E102,,,GK,TA10,,SG,,MDL,,F210,GB,,,F313,,F108,,,,,RKG,F109,,,,,RKD,F107,,,,,,,HLB,E310,SKS,CS,,F208/F308,,,,,,,PD/DD,E103,DNR,C218,,,,F206,NEN,ADG,,,,,,,,TA15,,E307,DM,E306,,SS-1 (L201),,,,B305,,,,,,,DGS,B308,,,,,,,RVK,B301,,,,,,,RU,B309,,,,,,,HS,F203,,,,,SV,B214,,C210,,C221,,F204,,,,,MA,D,,,
,,6,,12:10 PM,,,,,,,,,,,,,UME404T,,ABY,,UME718L,,,,,,UTA024L,,,,,,UMT802L,,,,,,,,UCH401L,,,,,,,,,,,,UCE501T,,LAB,,,,,,UEE512L,,,,,,,,,,,,LAB,,LAB,,,,UEC716L,,,,,,,,UNC501L,,,,,,,,UEC310L,,,,,,,,UEC519L,,,,,,,,UEC513L,,,,,,LAB,,LAB,,LAB,,UEC610L,,,,,,,6,12:10 PM,
A,A,,,,,,,,,,,,,,,,F210,GB,,,F108,,,,,SKM,F109,,,,,GDS/AKB,F107,,,,,,,AKS,E310,,,RGU,,,,,,,,,E103,APR,HS,,,,,,B307,,,,,,,,,MKS,,,NSD,,SUG,,,,B305,,,,,,,AUS,B308,,,,,,,MJS,B301,,,,,,,PV,B309,,,,,,,HSS,F203,,,,,DG,SUS,,SKR,,RJS,,F204,,,,,AMK1,A,,,
,,7,,1:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBT518P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1:00 PM,
Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,
,,8,,1:50 PM,UEI608P,,UEIXXXP,,UEE504L,,,,,,UME408T,,,,UTA025P,,UME408T,,UME408T,,UTA025P,,UMT504P,,UMT503P,,,,,,,,,,,,,,,,,,FIRST FLOOR,,,,,,,,,,,,UCC502P,,ULC303L,,,,,,,,,,UBM505P,,UHU026 P,,,,,,,,,,,,,,UNC501P,,UEC502P,,UEC716P,,UNC501P,,UNC501L,,,,,,,,UTA025L,,,,,,,,UEC519T,,,,UEC750P,,UEC502L,,,,,,,,,,,,,8,1:50 PM,
,,,,,BMI(B213),,TFS(C225),,E102,,,,,MBK,F210,,,,F309,,F313,,F312,,F309,,ROBOTICS(D201),,MTX(D202),,,,,,,,,,,,,,,,,,LAB,,,,,,,,,,,,D117,,B208,,,,,,,,,ALK,ANALOG(B211),,E104,,,,,,,,,,,,,,C332,,C203,,C326,,C327,,B308,,,,,,,TSP,B309,,,,,,,PK,F303,AM,,,C221,,F203,,,,,AKA,,,,,,,,,,
,,9,,2:40 PM,LAB,,LAB,,,,,,,,LAB,,,,LAB,,BJS,,RKG,,VS,,LAB,,LAB,,,,UME725L,,,,,,,,UCH501L,,,,,,PKH,,,,,,,,,,UCE401T,,LAB,,UEE508L,,,,,,,,,,LAB,,LAB,,,,,,UEC310L,,,,,,,,LAB,,LAB,,LAB,,LAB,,UEC716L,,,,,,,,UEC502L,,,,,,,,UEC750T,,UEC519T,,LAB,,UEC750L,,,,,,UVD515L,,,,,,,9,2:40 PM,
,,,,,RA,,NJS,,,,,,,,PNK,,,,VS,,,,,,,,RKD,,SNK,,,,F107,,,,,,,SPP,E310,,,SKA,,,,,,,,,,,,,E103,DNR,TNC,,B208,,,,,,,,,SAH,SKS,,MT,,,,,,B303,,,,,,,LKB,MJS,,SNJ,,UKS,,ABH-RA,,B308,,,,,,,AUS,B309,,,,,,,RAA,F303,APC8,E303,APC15,RJS,,F203,,,,,SUJ,F202,,,,,SP,,,,
,,10,,3:30 PM,,,,,UEE504P,,UEI501T,,,,UME408L,,,,,,UTA024P,,UTA024P,,UME408T,,UME511P,,UME511P,,,,,,,,,,,,UCH509P,,,,UBT518P,,,,,,,,UTA025P,,,,UCE693P,,,,ULC601P,,ULC501P,,UEE508T,,ULC502P,,UEE512T,,UEI614P,,UCT513T,,,,,,UNC503P,,UEC502T,,UEC310T,,UNC502P,,,,,,UTA025T,,,,UEC523P,,,,,,,,UEC512P,,UEC519P,,UEC513P,,UEC502P,,,,UEC502T,,UEC502T,,,,UEC750P,,UEC519T,,UTA025T,,,,UEC867T,,,10,3:30 PM,
,,,,,,,,,PE(C113),,E102,SG,,,F107,,,,,PNK,B216/L101,,L101/B216,,F316,,AUTO(W121),,AUTO(W121),,,,,,,,,,,,E310,,,,STEP,,,,,,,,D115,,,,C218,,,,NETWORK(H223),,BMC(C223),,E303,SAH,IOT(D206B),,E305,TA1,BMI(B213),,PGAS2(L410),,,,,SB,C333,,F303,AKA,B309,GTJ,C203,,,,,,E205,,,,B308,,,,,,,,C210,,B214,,C202,,C326,,,,E301,APC14,E308,APC11,,,C221,,F203,APC3,F204,,,,E306,RPN,,,,
,,11,,4:20 PM,,,,,LAB,,,,UEI501T,,UME718L,,,,,,LAB,,LAB,,RKG,,LAB,,LAB,,,,,,,,,,,,AC,,,,FIRST FLOOR,,,,,,,,LAB,,,,LAB,,,,LAB,,LAB,,UEE512T,,LAB,,,,LAB,,,,,,,,LAB,,UEC310T,,UEC502T,,LAB,,,,,,HSP,,,,LAB,,,,,,,,LAB,,LAB,,LAB,,LAB,,,,UEC750T,,UEC519T,,,,LAB,,,,VVG,,,,UVD501T,,,11,4:20 PM,
,,,,,,,,,MBK,,,,E102,SG,F107,,,,,KL,GDS/KAS,,KAS/GDS,,,,DK,,DK,,,,,,,,,,,,,,,,LAB,,,,,,,,RBB,,,,NKW,,,,SBH,,TA9,,E305,MKS,ADG,,,,MIS,,,,,,,,RF13,,F303,LKB,B309,RAA,AKK,,,,,,,,,,NJ,,,,,,,,KBS,,SUS,,HVR,,RVK,,,,E301,RJS,E308,AM,,,SV,,,,,,,,E306,MA,,,,
,,12,,5:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AKU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,5:10 PM,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,,6:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,6:00 PM,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14,,6:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,6:50 PM,
